label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,35,35,1,209.030121,12.306,0.597539,[M-H]-,,Mucic acid,Mucic acid,C6H10O8,1.574,0.802978,209.030121,32808.20,28476.76,33129.20,18020.91,18047.10
,36,36,2,225.051605,11.702,0.834488,[M-H]-,,3-Nitro-L- tyrosine,3-Nitro-L- tyrosine,C9H10N2O5,0.092,0.406808,225.051605,5176.76,2570.45,4051.65,2524.72,8074.63
,37,37,5,225.099274,14.245,0.837299,[M-H]-,,Carnosine,Carnosine,C9H14N4O3,0.214,0.203361,225.099274,772412.69,702103.31,1040609.50,864576.31,1264467.00
,38,38,2,225.113190,2.681,0.582590,[M-H]-,,Tuberonic acid isomer,Tuberonic acid isomer,C12H18O4,0.004,0.203348,225.113190,104754.16,96231.56,102157.45,71003.78,85658.74
,39,39,5,225.185913,2.341,0.824199,[M-H]-,,Myristoleic acid C14:1,Myristoleic acid C14:1,C14H26O2,0.189,0.406565,225.185913,3136021.25,5840076.00,3617785.25,6066729.50,2243373.00
,40,40,5,226.083252,7.792,0.852586,[M-H]-,,Deoxycytidine,Deoxycytidine,C9H13N3O4,0.483,0.337459,226.083252,187072.73,232468.00,171429.11,196498.36,167711.17
,41,41,5,227.067169,4.980,0.841556,[M-H]-,,deoxyuridine,deoxyuridine,C9H12N2O5,1.160,0.806393,227.067169,553260.38,628514.94,387239.09,493574.34,420829.72
,42,42,3,227.128784,3.269,0.738278,[M-H]-,,Traumatic Acid isomer,Traumatic Acid isomer,C12H20O4,0.599,0.470268,227.128784,85215.12,86295.12,78739.30,73314.71,93294.80
,43,43,3,227.128784,3.269,0.741215,[M-H]-,,Traumatic Acid,Traumatic Acid,C12H20O4,0.923,0.470268,227.128784,91961.90,99230.09,83534.62,78908.75,112260.54
,44,44,5,227.201569,2.332,0.823168,[M-H]-,,C14:0(Myristic acid),C14:0(Myristic acid),C14H28O2,0.218,0.402958,227.201569,85568632.00,207217472.00,83705032.00,109854520.00,102901576.00
,45,45,4,228.027786,13.661,0.838489,[M-H]-,,Phosphoribosylamine,Phosphoribosylamine,C5H12NO7P,0.320,0.334582,228.027786,9943.18,19392.66,12029.51,11641.33,21128.72
,46,46,5,228.081253,12.655,0.850449,[M-H]-,,Ergothioneine,Ergothioneine,C9H15N3O2S,0.470,0.133801,228.081253,33939.17,45619.59,18654.96,12192.15,13206.66
,47,47,4,216.098801,10.976,0.833093,[M-H]-,,N-acetyl-citrulline isomer,N-acetyl-citrulline isomer,C8H15N3O4,1.266,0.847322,216.098801,7351.33,6870.69,7701.38,7461.39,12849.86
,48,48,4,228.160355,2.681,0.839032,[M-H]-,,N-Decanoylglycine isomer,N-Decanoylglycine isomer,C12H23NO3,0.145,0.735652,228.160355,129774.78,62213.68,73079.84,66049.29,78441.91
,49,49,4,228.160355,2.681,0.839100,[M-H]-,,N-Decanoylglycine,N-Decanoylglycine,C12H23NO3,1.511,0.735652,228.160355,129774.78,62213.68,73079.84,66049.29,78441.91
,50,50,5,229.011688,13.582,0.835917,[M-H]-,,ribose-5-phosphate,ribose-5-phosphate,C5H11O8P,0.265,0.866175,229.011688,587914.44,888472.50,494847.88,682942.75,756011.06
,51,51,5,229.043991,13.547,0.852551,[M-H]-,,6-Methoxy-3-(2-thiazolyl)-1H-indole isomer,6-Methoxy-3-(2-thiazolyl)-1H-indole isomer,C12H10N2OS,0.199,0.532955,229.043991,164921.44,149968.61,169967.31,132588.48,159770.94
,52,52,3,229.082764,13.398,0.834256,[M-H]-,,Pro-Asp,Pro-Asp,C9H14N2O5,0.410,0.999122,229.082764,8010.61,6624.45,6032.31,3480.23,10254.66
,53,53,3,229.107986,3.045,0.809193,[M-H]-,,Dibutyl oxopropanedioate isomer,Dibutyl oxopropanedioate isomer,C11H18O5,0.619,0.732609,229.107986,29595.79,33392.34,51686.96,31706.26,48948.11
,54,54,2,230.103195,11.268,0.769079,[M-H]-,,Suberyl Glycine,Suberyl Glycine,C10H17NO5,0.015,0.862066,230.103195,4169.78,3631.07,4221.52,1533.48,5655.62
,55,55,5,216.123993,10.419,0.839191,[M-H]-,,Propionyl carnitine C3,Propionyl carnitine C3,C10H19NO4,0.547,0.635418,216.123993,39693.91,32477.58,29093.67,57102.27,59447.69
,56,56,5,216.123993,10.419,0.840379,[M-H]-,,Propionyl-L-carnitine isomer 2,Propionyl-L-carnitine isomer 2,C10H19NO4,1.529,0.635418,216.123993,39693.91,32477.58,29093.67,57102.27,59447.69
,57,57,2,217.017303,2.233,0.816564,[M-H]-,,Tyrosol 4-sulfate,Tyrosol 4-sulfate,C8H10O5S,0.026,1.476537,217.017303,170240.20,68154.09,174139.78,101788.84,247891.44
,58,58,2,217.017303,2.233,0.816564,[M-H]-,,Tyrosol 4-sulfate isomer,Tyrosol 4-sulfate isomer,C8H10O5S,0.190,1.476537,217.017303,170240.20,68154.09,174139.78,101788.84,247891.44
,59,59,5,217.082794,13.279,0.835220,[M-H]-,,Glu-Ala,Glu-Ala,C8H14N2O5,0.272,0.913772,217.082794,186261.33,129090.84,141449.25,94392.04,142114.94
,60,60,5,217.107941,11.101,0.820119,[M-H]-,,2-Hydroxydecanedioic acid,2-Hydroxydecanedioic acid,C10H18O5,0.182,0.983948,217.107941,102569.54,80234.24,96256.66,81420.06,108449.34
,61,61,3,217.119171,14.300,0.836481,[M-H]-,,Ser-Leu isomer,Ser-Leu isomer,C9H18N2O4,0.103,0.983897,217.119171,10716.24,8607.48,5073.31,12003.87,6488.42
,62,62,3,224.129074,2.928,0.836418,[M-H]-,,Terbutaline isomer (1),Terbutaline isomer,C12H19NO3,1.267,0.612723,224.129074,12121.95,11741.94,15364.95,11107.87,6422.26
,63,63,5,219.077393,10.301,0.831961,[M-H]-,,5-L-Hydroxytryptophan,5-L-Hydroxytryptophan,C11H12N2O3,0.061,0.557201,219.077393,35533.45,18741.38,22189.26,19734.62,30189.98
,64,64,1,220.082611,10.360,0.713295,[M-H]-,,N-Acetyl-glucosamine,N-Acetyl-glucosamine,C8H15NO6,1.702,0.207996,220.082611,6794.18,6710.14,10443.17,5975.89,8444.42
,65,65,2,220.082489,12.595,0.810894,[M-H]-,,N-Acetyl-glucosamine,N-Acetyl-glucosamine,C8H15NO6,0.533,0.762653,220.082489,11323.75,7648.24,12936.16,16321.62,11414.78
,66,66,3,221.060104,15.071,0.846116,[M-H]-,,cystathionine,cystathionine,C7H14N2O4S,0.926,0.207077,221.060104,39316.99,32104.51,35190.94,18408.72,37339.38
,67,67,5,221.066528,12.446,0.651396,[M-H]-,,Ethyl glucuronide,Ethyl glucuronide,C8H14O7,1.183,0.690235,221.066528,177114.00,118280.31,133775.20,144516.19,153084.23
,68,68,3,221.092850,7.353,0.834570,[M-H]-,,Gly-Phe,Gly-Phe,C11H14N2O3,1.166,1.449319,221.092850,1171.47,936.82,6713.03,1797.65,5335.63
,69,69,1,222.077103,8.482,0.676043,[M-H]-,,N-acetyl-tyr isomer,N-acetyl-tyr isomer,C11H13NO4,1.398,0.343547,222.077103,3367.55,4959.14,3055.88,6373.45,4074.44
,70,70,5,223.170288,2.350,0.828048,[M-H]-,,C14:2,C14:2,C14H24O2,0.189,0.273491,223.170288,1897992.00,2985041.00,1478217.88,3539200.25,1218149.62
,71,71,2,224.056396,11.225,0.833837,[M-H]-,,Vanilloylglycine,Vanilloylglycine,C10H11NO5,0.015,0.204307,224.056396,9804.33,1136.56,2082.66,1144.13,14210.91
,72,72,3,224.129074,2.928,0.834434,[M-H]-,,Terbutaline isomer,Terbutaline isomer,C12H19NO3,0.050,0.612723,224.129074,12121.95,11741.94,15364.95,11107.87,6422.26
,73,73,1,187.039917,2.709,0.824266,[M-H]-,,Plumbagin,Plumbagin,C11H8O3,1.492,0.815803,187.039917,16915.47,11426.03,23475.17,5705.62,13249.49
,74,74,4,187.072296,10.409,0.772064,[M-H]-,,N-Acetyl-L-glutamine isomer,N-Acetyl-L-glutamine isomer,C7H12N2O4,1.828,0.734096,187.072296,17566.61,13627.96,19823.17,9363.78,11183.09
,75,75,5,187.072296,10.409,0.844207,[M-H]-,,N-acetyl-glutamine,N-acetyl-glutamine,C7H12N2O4,0.787,0.734096,187.072296,17566.61,13627.96,19823.17,9363.78,11183.09
,76,76,5,187.108643,13.211,0.850404,[M-H]-,,Leu-Gly,Leu-Gly,C8H16N2O3,0.279,0.897054,187.108643,70212.60,54550.94,71823.44,63395.54,61662.44
,77,77,5,187.108643,13.211,0.850404,[M-H]-,,N-Alpha-acetyllysine,N-Alpha-acetyllysine,C8H16N2O3,0.384,0.897054,187.108643,70212.60,54550.94,71823.44,63395.54,61662.44
,78,78,4,188.002121,2.210,0.848542,[M-H]-,,2-Pyridyl hydroxymethane sulfonic acid,2-Pyridyl hydroxymethane sulfonic acid,C6H7NO4S,0.025,0.973953,188.002121,327580.97,225344.83,344181.78,174829.00,544486.56
,79,79,5,188.035156,4.074,0.765071,[M-H]-,,Kynurenic acid,Kynurenic acid,C10H7NO3,0.756,0.892634,188.035156,178454.08,164049.09,349857.91,175385.42,186658.61
,80,80,5,188.056274,12.404,0.835334,[M-H]-,,N-acetyl-glutamate,N-acetyl-glutamate,C7H11NO5,0.807,0.892534,188.056274,367921.22,243575.73,308735.25,186141.12,350366.00
,81,81,2,188.071594,3.809,0.793610,[M-H]-,,Indole-3-propionic acid,Indole-3-propionic acid,C11H11NO2,0.999,0.567930,188.071594,555902.06,433055.78,629848.81,623323.25,443709.28
,82,82,4,202.119553,14.852,0.841646,[M-H]-,,Lys-Gly,Lys-Gly,C8H17N3O3,0.717,0.830432,202.119553,19033.72,13876.95,17464.42,11449.23,13262.34
,83,83,3,188.092682,13.031,0.717105,[M-H]-,,Castanospermine isomer,Castanospermine isomer,C8H15NO4,1.198,0.811237,188.092682,3206.46,5687.70,2257.04,5580.53,2360.17
,84,84,5,188.103912,13.712,0.850151,[M-H]-,,Homocitrulline,Homocitrulline,C7H15N3O3,0.235,0.811189,188.103912,55361.89,56835.53,65198.44,63314.44,55117.96
,85,85,5,188.103912,13.712,0.849965,[M-H]-,,N6-Carbamoyl-DL-Lysine,N6-Carbamoyl-DL-Lysine,C7H15N3O3,0.976,0.811189,188.103912,55361.89,56835.53,65198.44,63314.44,55117.96
,86,86,5,188.986145,2.093,0.826995,[M-H]-,,Pyrocatechol sulfate,Pyrocatechol sulfate,C6H6O5S,0.009,0.968882,188.986145,9776495.00,7576072.50,12696157.00,6441920.50,16648908.00
,87,87,5,189.003906,2.918,0.820709,[M-H]-,,Hydroxycitric acid lactone,Hydroxycitric acid lactone,C6H6O7,0.233,0.888059,189.003906,1189874.62,867925.19,1217745.12,748699.25,814048.75
,88,88,2,189.040314,7.747,0.816540,[M-H]-,,2-O-Methylascorbic acid,2-O-Methylascorbic acid,C7H10O6,1.290,0.807171,189.040314,8650.73,4423.54,4499.80,2759.15,5245.58
,89,89,5,189.051544,13.341,0.851160,[M-H]-,,Asp Gly,Asp Gly,C6H10N2O5,0.328,0.807123,189.051544,56100.49,43288.91,44476.47,21018.95,33073.66
,90,90,4,189.066803,4.051,0.842139,[M-H]-,,Indole-3-acetaldoxime N-oxide,Indole-3-acetaldoxime N-oxide,C10H10N2O2,0.071,0.807057,189.066803,22195.76,13127.08,23714.91,18716.35,19712.30
,91,91,5,189.087982,13.626,0.851285,[M-H]-,,Diaminopimelic acid,Diaminopimelic acid,C7H14N2O4,0.198,0.564877,189.087982,44520.08,31730.23,45535.10,38199.80,38438.00
,92,92,5,190.035553,13.384,0.812151,[M-H]-,,gamma-Carboxy-D-glutamic acid,gamma-Carboxy-D-glutamic acid,C6H9NO6,0.602,0.802943,190.035553,9136.76,11790.58,8826.57,3558.92,4895.95
,93,93,3,179.107605,2.732,0.837393,[M-H]-,,Dihydroactinidiolide isomer,Dihydroactinidiolide isomer,C11H16O2,1.454,0.851933,179.107605,7071.95,15923.40,10287.61,12554.24,15942.45
,94,94,2,179.107590,2.788,0.769264,[M-H]-,,Dihydroactinidiolide,Dihydroactinidiolide,C11H16O2,0.098,0.937127,179.107590,7071.95,15923.40,7084.18,12554.24,15942.45
,95,95,1,180.030090,1.681,0.510572,[M-H]-,,4-Aminoisophthalic acid ,4-Aminoisophthalic acid ,C8H7NO4,1.689,0.762811,180.030090,25552.23,27034.12,29813.28,25276.27,22163.40
,96,96,3,180.030075,3.993,0.834604,[M-H]-,,4-Aminoisophthalic acid ,4-Aminoisophthalic acid ,C8H7NO4,0.623,0.847568,180.030075,35342.52,32257.47,39774.57,44459.73,38255.07
,97,97,5,180.066376,11.395,0.843445,[M-H]-,,tyrosine,tyrosine,C9H11NO3,0.674,1.355835,180.066376,7284396.50,5927474.50,6368580.00,4232193.50,5957950.00
,98,98,3,180.102859,2.416,0.850521,[M-H]-,,Methylsynephrine isomer,Methylsynephrine isomer,C10H15NO2,0.410,0.762503,180.102859,60316.21,16313.92,55148.01,19230.07,81563.20
,99,99,2,181.050507,4.200,0.728200,[M-H]-,,Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,C9H10O4,1.350,0.674233,181.050507,301493.69,289837.28,271357.59,209835.06,300102.50
,100,100,5,181.071579,12.208,0.841217,[M-H]-,,sorbitol,sorbitol,C6H14O6,0.460,1.011232,181.071579,922935.81,854339.81,626307.81,627626.31,647326.56
,101,101,3,181.123260,2.989,0.836594,[M-H]-,,Methyl geranate,Methyl geranate,C11H18O2,0.314,0.758207,181.123260,14405.61,17901.83,33709.92,11065.85,31300.73
,102,102,3,182.009308,12.483,0.743469,[M-H]-,,3-Nitrosalicylic acid,3-Nitrosalicylic acid,C7H5NO5,0.926,1.006021,182.009308,29474.47,12782.09,12714.33,12145.41,22965.16
,103,103,2,182.012665,12.933,0.639656,[M-H]-,,homocysteic acid,homocysteic acid,C4H9NO5S,0.380,1.089836,182.012665,23287.50,20989.61,24284.66,22138.70,25019.15
,104,104,3,182.045761,3.022,0.751188,[M-H]-,,4-Pyridoxic acid,4-Pyridoxic acid,C8H9NO4,0.572,0.670547,182.045761,115054.85,109928.60,138101.11,169893.22,159453.78
,105,105,5,182.058517,14.196,0.845324,[M-H]-,,Phosphorylcholine,Phosphorylcholine,C5H14NO4P,0.067,1.424811,182.058517,7977.43,7050.95,7670.58,4681.80,12940.43
,106,106,5,187.006866,2.112,0.853306,[M-H]-,,Cresol sulfate,Cresol sulfate,C7H8O4S,0.006,0.979137,187.006866,419381.66,236232.73,419601.09,432093.97,371373.25
,107,107,5,183.015778,8.089,0.848911,[M-H]-,,5-hydroxyisourate,5-hydroxyisourate,C5H4N4O4,1.562,1.083863,183.015778,28340.60,34108.16,17827.69,30038.76,41910.50
,108,108,5,184.097641,13.245,0.785533,[M-H]-,,Ecgonine isomer,Ecgonine isomer,C9H15NO3,0.014,1.491914,184.097641,37332.46,50078.41,52941.04,42314.72,43268.88
,109,109,2,184.097702,6.957,0.759303,[M-H]-,,Ecgonine,Ecgonine,C9H15NO3,0.102,1.160377,184.097702,4039.23,6287.50,9205.43,12297.41,12264.86
,110,110,3,184.985428,13.790,0.841452,[M-H]-,,3-phosphoglycerate,3-phosphoglycerate,C3H7O7P,0.251,1.319781,184.985428,8771.65,5667.13,3473.39,2082.45,15577.77
,111,111,5,185.118118,2.430,0.811227,[M-H]-,,10-hydroxy-2E-decenoic acid,10-hydroxy-2E-decenoic acid,C10H18O3,0.147,1.071554,185.118118,2066417.88,1364015.38,1636652.00,891130.31,1641462.38
,112,112,1,185.154510,2.420,0.731359,[M-H]-,,C11:0(Undecanoic acid),C11:0(Undecanoic acid),C11H22O2,0.120,1.071343,185.154510,130207.15,237502.80,303628.00,170795.08,156462.55
,113,113,3,186.055939,4.088,0.806349,[M-H]-,,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.128,0.574082,186.055939,72051.45,79312.99,60944.86,116477.70,64737.06
,114,114,2,186.076935,12.730,0.785469,[M-H]-,,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,C8H13NO4,1.568,1.312040,186.076935,7208.80,7126.44,3923.31,3929.84,5808.05
,115,115,3,186.113480,4.097,0.846602,[M-H]-,,N-Heptanoylglycine,N-Heptanoylglycine,C9H17NO3,1.026,0.491919,186.113480,92275.90,115147.97,56791.39,81390.66,115285.50
,116,116,2,186.113419,10.221,0.821593,[M-H]-,,8-Amino-7-oxononanoic acid,8-Amino-7-oxononanoic acid,C9H17NO3,1.023,0.819864,186.113419,5703.95,3724.20,9304.70,7762.62,5872.02
,117,117,5,186.113434,13.026,0.812360,[M-H]-,,8-Amino-7-oxononanoic acid,8-Amino-7-oxononanoic acid,C9H17NO3,1.782,0.737878,186.113434,8717.70,7877.91,12076.30,10918.13,12764.83
,118,118,2,198.059235,2.695,0.826036,[M-H]-,,N-Ethyl-4-methylbenzenesulfonamide isomer,N-Ethyl-4-methylbenzenesulfonamide isomer,C9H13NO2S,0.010,0.924498,198.059235,27084.19,5851.30,10855.91,3353.43,22811.16
,119,119,1,198.113480,4.102,0.541846,[M-H]-,,2-octenoylglycine isomer,2-octenoylglycine isomer,C10H17NO3,1.040,0.462122,198.113480,41304.11,67080.90,39336.05,60985.93,67204.91
,120,120,2,198.113480,4.102,0.548414,[M-H]-,,2-octenoylglycine,2-octenoylglycine,C10H17NO3,0.099,0.462122,198.113480,41304.11,67080.90,39336.05,60985.93,67204.91
,121,121,5,199.170197,2.392,0.821808,[M-H]-,,Laurate,Laurate,C12H24O2,0.208,0.766118,199.170197,1846261.62,29712654.00,2577293.75,3595960.00,1556482.00
,122,122,3,199.969208,9.901,0.629537,[M-H]-,,Cysteine S-sulfate,Cysteine S-sulfate,C3H7NO5S2,0.101,0.381528,199.969208,38652.68,46640.11,34304.36,39677.71,34534.58
,123,123,1,200.129105,2.732,0.732435,[M-H]-,,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,1.473,0.533713,200.129105,122211.00,78255.03,168787.39,112735.70,118934.59
,124,124,1,200.129105,2.732,0.730890,[M-H]-,,Capryloyl glycine,Capryloyl glycine,C10H19NO3,0.295,0.533713,200.129105,122211.00,78255.03,168787.39,112735.70,118934.59
,125,125,5,201.022552,2.102,0.846694,[M-H]-,,4-Ethylphenyl sulfate,4-Ethylphenyl sulfate,C8H10O4S,-1.000,0.759058,201.022552,18050.74,12840.65,20558.02,14246.89,13261.05
,126,126,5,201.113129,10.800,0.785734,[M-H]-,,Sebacic acid,Sebacic acid,C10H18O4,0.456,0.531101,201.113129,52735.73,56514.83,50758.98,62979.95,55562.25
,127,127,3,201.113098,3.236,0.617736,[M-H]-,,Sebacate,Sebacate,C10H18O4,0.974,0.682845,201.113098,257294.17,161331.73,275908.81,140543.62,214926.36
,128,128,5,201.124313,14.535,0.847859,[M-H]-,,Leu-Ala isomer,Leu-Ala isomer,C9H18N2O3,1.733,0.758674,201.124313,32776.64,22326.08,28512.98,27928.47,23129.22
,129,129,5,201.124313,14.535,0.847512,[M-H]-,,Leu-Ala,Leu-Ala,C9H18N2O3,0.989,0.758674,201.124313,32776.64,22326.08,28512.98,27928.47,23129.22
,130,130,1,202.017883,2.274,0.840801,[M-H]-,,Cystathionine ketimine isomer,Cystathionine ketimine isomer,C7H9NO4S,0.117,0.377659,202.017883,12933.11,10798.11,20685.73,39283.88,17005.86
,131,131,5,202.050903,2.569,0.710041,[M-H]-,,Indole-3-pyruvic acid,Indole-3-pyruvic acid,C11H9NO3,0.001,0.302078,202.050903,315263.03,326414.25,434700.59,338354.00,361678.53
,132,132,2,202.071960,12.360,0.772859,[M-H]-,,N-acetyl-L-2-aminoadipate,N-acetyl-L-2-aminoadipate,C8H13NO5,0.810,0.679604,202.071960,10953.18,11319.38,7319.03,19311.24,15179.22
,133,133,5,202.108368,11.332,0.851294,[M-H]-,,N-Lactoylleucine,N-Lactoylleucine,C9H17NO4,1.043,0.603984,202.108368,124733.84,87959.53,96900.26,115219.60,176493.20
,134,134,5,202.108368,11.332,0.851378,[M-H]-,,acetyl carnitine,acetyl carnitine,C9H17NO4,0.103,0.603984,202.108368,124733.84,87959.53,96900.26,115219.60,176493.20
,135,135,3,190.087204,3.003,0.819929,[M-H]-,,1-(4-Hydroxyphenyl)piperidin-2-one,1-(4-Hydroxyphenyl)piperidin-2-one,C11H13NO2,-1.000,0.802725,190.087204,53358.50,37410.19,34217.03,19578.15,29421.15
